EVTNAME2650;$FROMCOUNTRY_ADJ$ Lands;;;;;;;;;;;;;;
EVTNAME2650;$FROMCOUNTRY_ADJ$ Lands;;;;;;;;;;;;;;
EVTDESC2650;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to them-- and only the ones that belong to them.;;;;;;;;;;;;;;
EVTNAME2651;The $FROMCOUNTRY_ADJ$ Demand;;;;;;;;;;;;;;
EVTDESC2651;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to another nation-- but only those lands.;;;;;;;;;;;;;;
EVTNAME2660;Our Lands Returned;;;;;;;;;;;;;;
EVTDESC2660;As a result of the treaty with $FROMCOUNTRY$, some of $COUNTRY$'s lands are to be returned. We are, however, only entitled to those lands over which we have a claim. Any others should, by all rights, be returned to $FROMCOUNTRY$.\n\n§RNOTE: If you took $FROMCOUNTRY_ADJ$ core provinces which are not also your own core provinces in this war, enacting the 'return' option will give those lands back. Be careful!;;;;;;;;;;;;;;
EVTNAME2110001;The Expansion of $COUNTRY$;;;;;;;;;;;;;;
EVTNAME2110001;The Expansion of $COUNTRY$;;;;;;;;;;;;;;
EVTDESC2110001;Our colonial overlord has recently established a colony in territories we consider to be within the natural borders of $COUNTRY$. We should petition them to have the new territory admitted into our colony instead of them governing it directly.;;;;;;;;;;;;;;
EVTOPTA2110001;Let's do it.;;;;;;;;;;;;;;
EVTOPTB2110001;Not at the present time.;;;;;;;;;;;;;;
EVTNAME2110002;$FROMCOUNTRY$ Requests Colonial Expansion;;;;;;;;;;;;;;
EVTDESC2110002;We recently established a colony in territories $FROMCOUNTRY$ considers to be within its natural borders. They have petitioned us to have the new territory admitted into their colony instead of us administering it directly from $CAPITAL$.;;;;;;;;;;;;;;
EVTOPTA2110002;Let them have it.;;;;;;;;;;;;;;
EVTOPTB2110002;We will keep it.;;;;;;;;;;;;;;
EVTNAME2110003;$FROMCOUNTRY$ Grants us More Land;;;;;;;;;;;;;;
EVTDESC2110003;$FROMCOUNTRY$ has agreed to let us take control of more territory. Today is a glorious day for $COUNTRY$, as we watch our frontiers expand into our rightful territories!;;;;;;;;;;;;;;
EVTOPTA2110003;Jubilation!;;;;;;;;;;;;;;
